2022-07-19T15:32:03
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061621.6125345 7001289F:109:CB97UANXX:1:1301:12004:62544/1	R1	-	+	+	-	0.000000	0.441860
ERR2061621.6125346 7001289F:109:CB97UANXX:1:2106:9038:24702/1	R1	-	+	+	-	0.000000	0.387755
ERR2061621.6125347 7001289F:109:CB97UANXX:1:2310:4183:68325/1	R1	+	-	-	+	0.471698	0.000000
ERR2061621.6125348 7001289F:109:CB97UANXX:1:2210:9560:61195/1	R1	+	-	-	+	0.000000	0.000000
ERR2061621.6125350 7001289F:109:CB97UANXX:1:1112:15375:12532/1	R1	+	-	-	+	0.830508	0.000000
ERR2061621.6125351 7001289F:109:CB97UANXX:1:2113:5509:69376/1	R1	+	-	-	-	0.415094	-
ERR2061621.6125352 7001289F:109:CB97UANXX:1:2206:17798:82555/1	R1	-	+	+	-	0.000000	0.657895
ERR2061621.6125353 7001289F:109:CB97UANXX:1:2304:6023:89894/1	R1	+	-	-	+	0.387755	0.000000
ERR2061621.6125354 7001289F:109:CB97UANXX:1:1211:16316:28128/1	R1	-	+	+	-	0.133333	0.868421
ERR2061621.6125355 7001289F:109:CB97UANXX:1:2104:17082:18591/2	R2	-	-	+	-	-	0.598214
ERR2061621.6125356 7001289F:109:CB97UANXX:1:1215:14749:87153/1	R1	-	+	-	-	0.000000	-
ERR2061621.6125358 7001289F:109:CB97UANXX:1:2207:4622:79944/1	R1	+	-	-	-	0.475000	-
ERR2061621.6125359 7001289F:109:CB97UANXX:1:1215:4526:27220/2	R2	-	-	+	-	-	0.636364
ERR2061621.6125361 7001289F:109:CB97UANXX:1:1208:15014:75267/1	R1	+	-	-	-	0.568421	-
ERR2061621.6125362 7001289F:109:CB97UANXX:1:2207:4290:92888/1	R1	+	-	-	+	0.609756	0.000000
ERR2061621.6125363 7001289F:109:CB97UANXX:1:1104:3203:66844/1	R1	-	+	+	-	0.109589	0.690141
ERR2061621.6125364 7001289F:109:CB97UANXX:1:2216:9557:91387/2	R2	-	-	+	-	-	0.452055
ERR2061621.6125365 7001289F:109:CB97UANXX:1:1106:18368:44585/1	R1	+	-	-	-	0.781250	-
ERR2061621.6125366 7001289F:109:CB97UANXX:1:1106:8032:89148/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125367 7001289F:109:CB97UANXX:1:2214:2732:79539/1	R1	+	-	-	+	0.636364	0.000000
ERR2061621.6125368 7001289F:109:CB97UANXX:1:2203:14798:29913/2	R2	-	-	+	-	-	0.690141
ERR2061621.6125369 7001289F:109:CB97UANXX:1:2111:13782:28517/1	R1	-	+	+	-	0.000000	0.485149
ERR2061621.6125371 7001289F:109:CB97UANXX:1:2303:11126:37743/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125374 7001289F:109:CB97UANXX:1:2204:3499:99419/1	R1	+	-	-	-	0.862069	-
ERR2061621.6125375 7001289F:109:CB97UANXX:1:2102:5834:64640/2	R2	-	-	+	-	-	0.863636
ERR2061621.6125376 7001289F:109:CB97UANXX:1:2306:3452:48924/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125377 7001289F:109:CB97UANXX:1:1302:16574:15499/1	R1	+	-	-	+	0.000000	0.000000
ERR2061621.6125378 7001289F:109:CB97UANXX:1:2201:4241:50887/1	R1	+	-	-	+	0.000000	0.000000
ERR2061621.6125379 7001289F:109:CB97UANXX:1:1102:5361:81825/1	R1	-	+	-	-	0.000000	-
ERR2061621.6125382 7001289F:109:CB97UANXX:1:1306:2242:93980/2	R2	-	-	+	-	-	0.128205
ERR2061621.6125386 7001289F:109:CB97UANXX:1:1113:14065:96267/1	R1	-	+	+	-	0.060606	0.388235
ERR2061621.6125391 7001289F:109:CB97UANXX:1:1303:8787:36865/1	R1	+	-	-	+	0.891892	0.000000
ERR2061621.6125392 7001289F:109:CB97UANXX:1:2101:3799:101356/2	R2	-	-	-	+	-	0.180723
ERR2061621.6125393 7001289F:109:CB97UANXX:1:2206:1958:23858/1	R1	+	-	-	+	0.781250	0.000000
ERR2061621.6125396 7001289F:109:CB97UANXX:1:1215:4331:6206/1	R1	+	-	-	+	0.000000	0.000000
ERR2061621.6125397 7001289F:109:CB97UANXX:1:2305:13356:27988/1	R1	+	-	-	+	0.863636	0.000000
ERR2061621.6125399 7001289F:109:CB97UANXX:1:2112:11874:93102/1	R1	-	+	+	-	0.000000	0.612903
ERR2061621.6125401 7001289F:109:CB97UANXX:1:1302:4932:39896/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125402 7001289F:109:CB97UANXX:1:1210:15427:41678/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125403 7001289F:109:CB97UANXX:1:1106:17755:20947/1	R1	-	+	-	-	0.000000	-
ERR2061621.6125404 7001289F:109:CB97UANXX:1:2306:4270:38713/1	R1	-	+	-	-	0.222222	-
ERR2061621.6125405 7001289F:109:CB97UANXX:1:2114:3034:34494/2	R2	-	-	-	+	-	0.444444
ERR2061621.6125407 7001289F:109:CB97UANXX:1:1302:10795:16440/2	R2	-	-	+	-	-	0.492537
ERR2061621.6125408 7001289F:109:CB97UANXX:1:2301:3770:16400/2	R2	-	-	+	-	-	0.924528
ERR2061621.6125409 7001289F:109:CB97UANXX:1:2201:5681:44501/1	R1	-	+	-	-	0.000000	-
ERR2061621.6125411 7001289F:109:CB97UANXX:1:2307:11915:37300/1	R1	-	+	+	-	0.095238	0.540984
ERR2061621.6125413 7001289F:109:CB97UANXX:1:1202:8429:33073/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125414 7001289F:109:CB97UANXX:1:1313:4087:87881/1	R1	+	-	-	-	0.767442	-
ERR2061621.6125415 7001289F:109:CB97UANXX:1:2302:7481:4332/1	R1	-	+	+	-	0.125000	0.000000
ERR2061621.6125416 7001289F:109:CB97UANXX:1:2308:18626:43756/1	R1	-	+	+	-	0.129630	0.961538
ERR2061621.6125417 7001289F:109:CB97UANXX:1:1314:15923:100381/1	R1	-	+	-	-	0.166667	-
ERR2061621.6125418 7001289F:109:CB97UANXX:1:1203:3002:96020/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125422 7001289F:109:CB97UANXX:1:2214:7769:51051/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125423 7001289F:109:CB97UANXX:1:1110:9604:98781/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125424 7001289F:109:CB97UANXX:1:2104:16347:68810/1	R1	+	-	-	-	0.495327	-
ERR2061621.6125425 7001289F:109:CB97UANXX:1:2210:7136:56564/2	R2	-	-	+	-	-	0.568182
ERR2061621.6125426 7001289F:109:CB97UANXX:1:1310:3826:14903/2	R2	-	-	+	-	-	0.500000
ERR2061621.6125427 7001289F:109:CB97UANXX:1:1207:21191:49043/1	R1	+	-	-	-	0.738636	-
ERR2061621.6125428 7001289F:109:CB97UANXX:1:2211:12497:57059/2	R2	-	-	+	-	-	0.558824
ERR2061621.6125429 7001289F:109:CB97UANXX:1:2303:11940:13298/1	R1	+	-	-	-	0.413043	-
ERR2061621.6125430 7001289F:109:CB97UANXX:1:1213:19974:97001/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125431 7001289F:109:CB97UANXX:1:1101:4862:4366/1	R1	+	-	-	-	0.339450	-
ERR2061621.6125432 7001289F:109:CB97UANXX:1:2108:13928:38343/1	R1	+	-	-	-	0.468354	-
ERR2061621.6125433 7001289F:109:CB97UANXX:1:1312:1444:55258/2	R2	-	-	-	+	-	0.000000
ERR2061621.6125434 7001289F:109:CB97UANXX:1:2214:18452:98743/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125435 7001289F:109:CB97UANXX:1:1310:4448:33550/1	R1	-	+	+	-	0.000000	0.491071
ERR2061621.6125437 7001289F:109:CB97UANXX:1:2216:10794:94621/1	R1	-	+	-	-	0.000000	-
ERR2061621.6125438 7001289F:109:CB97UANXX:1:1307:18244:96412/1	R1	+	-	-	-	0.590361	-
ERR2061621.6125439 7001289F:109:CB97UANXX:1:1101:16629:88875/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125440 7001289F:109:CB97UANXX:1:1102:9942:79797/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125441 7001289F:109:CB97UANXX:1:2102:14883:71888/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125442 7001289F:109:CB97UANXX:1:1114:2250:83501/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125443 7001289F:109:CB97UANXX:1:2305:14163:15315/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125444 7001289F:109:CB97UANXX:1:1304:4671:14891/2	R2	-	-	+	-	-	0.345455
ERR2061621.6125445 7001289F:109:CB97UANXX:1:2211:17299:28169/1	R1	+	-	-	-	0.345455	-
ERR2061621.6125446 7001289F:109:CB97UANXX:1:2103:8585:70833/1	R1	+	-	-	-	0.302752	-
