2024-12-30T14:57:11
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061624.8861755 7001289F:109:CB97UANXX:2:2212:18349:20405/1	R1	+	-	+	-	0.634615	0.634615
ERR2061624.8861758 7001289F:109:CB97UANXX:2:1215:14448:57540/1	R1	-	+	-	+	0.058333	0.058333
ERR2061624.8861762 7001289F:109:CB97UANXX:2:1209:17810:76017/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861765 7001289F:109:CB97UANXX:2:2201:10279:46289/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861766 7001289F:109:CB97UANXX:2:2109:1873:22721/1	R1	+	-	+	-	0.837838	0.837838
ERR2061624.8861768 7001289F:109:CB97UANXX:2:1315:14733:50091/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861774 7001289F:109:CB97UANXX:2:2203:4165:27323/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861775 7001289F:109:CB97UANXX:2:2206:3940:50287/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861776 7001289F:109:CB97UANXX:2:1304:10178:48358/1	R1	+	-	+	-	0.568182	0.568182
ERR2061624.8861777 7001289F:109:CB97UANXX:2:1307:4981:95631/1	R1	+	-	+	-	0.550562	0.550562
ERR2061624.8861780 7001289F:109:CB97UANXX:2:2306:4700:8473/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861782 7001289F:109:CB97UANXX:2:2208:16125:46791/1	R1	+	-	+	-	0.891892	0.891892
ERR2061624.8861797 7001289F:109:CB97UANXX:2:2214:17922:31087/1	R1	+	-	+	-	0.388235	0.388235
ERR2061624.8861802 7001289F:109:CB97UANXX:2:1112:15788:80256/1	R1	-	+	-	+	0.140000	0.140000
ERR2061624.8861803 7001289F:109:CB97UANXX:2:2213:19703:15703/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861804 7001289F:109:CB97UANXX:2:1212:12034:5699/1	R1	+	-	+	-	0.678571	0.678571
ERR2061624.8861805 7001289F:109:CB97UANXX:2:2206:11361:4192/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861807 7001289F:109:CB97UANXX:2:1210:6799:47578/1	R1	+	-	+	-	0.961538	0.961538
