2022-07-14T09:07:58
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061620.7209389 7001289F:109:CB97UANXX:1:2105:12695:18895/1	R1	+	-	-	-	0.457944	-
ERR2061620.7209390 7001289F:109:CB97UANXX:1:1315:14031:42639/1	R1	-	+	+	-	0.000000	0.320388
ERR2061620.7209391 7001289F:103:C9WFLANXX:4:1203:7864:93987/1	R1	-	+	+	-	0.000000	0.457944
ERR2061620.7209394 7001289F:109:CB97UANXX:1:2301:7621:25664/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209396 7001289F:109:CB97UANXX:1:1111:13062:90381/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209398 7001289F:103:C9WFLANXX:4:1315:12380:43537/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209400 7001289F:109:CB97UANXX:1:1211:16246:28316/1	R1	-	+	+	-	0.000000	0.657895
ERR2061620.7209401 7001289F:109:CB97UANXX:1:1207:20434:99522/1	R1	+	-	-	-	0.612903	-
ERR2061620.7209402 7001289F:109:CB97UANXX:1:1216:12433:27538/1	R1	+	-	-	-	0.515789	-
ERR2061620.7209403 7001289F:103:C9WFLANXX:3:1302:17556:24754/1	R1	-	+	+	-	0.530612	0.609756
ERR2061620.7209404 7001289F:103:C9WFLANXX:3:1204:3213:29143/1	R1	+	-	-	+	0.485149	0.314286
ERR2061620.7209405 7001289F:109:CB97UANXX:1:1205:3285:77597/2	R2	-	-	+	-	-	0.402062
ERR2061620.7209407 7001289F:103:C9WFLANXX:3:1105:9508:91635/2	R2	-	-	+	-	-	0.600000
ERR2061620.7209408 7001289F:109:CB97UANXX:1:1211:19050:28807/2	R2	-	-	+	-	-	0.452055
ERR2061620.7209410 7001289F:103:C9WFLANXX:3:2212:7651:85471/1	R1	+	-	-	+	0.932584	0.000000
ERR2061620.7209411 7001289F:103:C9WFLANXX:3:2211:4446:31063/2	R2	-	-	+	-	-	0.482143
ERR2061620.7209413 7001289F:109:CB97UANXX:1:2315:4799:80049/1	R1	-	+	+	-	0.082353	1.000000
ERR2061620.7209414 7001289F:103:C9WFLANXX:4:1312:6617:49673/1	R1	-	+	+	-	0.000000	0.446429
ERR2061620.7209415 7001289F:103:C9WFLANXX:4:1301:10891:64479/1	R1	+	-	-	-	0.485149	-
ERR2061620.7209417 7001289F:103:C9WFLANXX:3:1213:18670:78308/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209421 7001289F:109:CB97UANXX:1:1111:16167:22619/1	R1	-	+	+	-	0.053097	0.000000
ERR2061620.7209423 7001289F:109:CB97UANXX:1:2201:11149:4774/1	R1	-	+	+	-	0.000000	0.781250
ERR2061620.7209424 7001289F:109:CB97UANXX:1:2109:13820:16926/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209425 7001289F:109:CB97UANXX:1:2206:4197:2812/1	R1	-	+	+	-	0.000000	0.000000
ERR2061620.7209428 7001289F:109:CB97UANXX:1:1207:3874:21691/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209429 7001289F:109:CB97UANXX:1:1203:4745:39435/1	R1	-	+	+	-	0.076087	0.000000
ERR2061620.7209430 7001289F:109:CB97UANXX:1:1203:2007:14635/1	R1	+	-	-	-	0.457944	-
ERR2061620.7209431 7001289F:103:C9WFLANXX:3:1209:3201:94883/2	R2	-	-	+	-	-	0.413043
ERR2061620.7209432 7001289F:109:CB97UANXX:1:2207:15653:94204/1	R1	+	-	-	+	0.634615	0.000000
ERR2061620.7209433 7001289F:109:CB97UANXX:1:2116:4277:83708/1	R1	+	-	-	+	0.000000	0.000000
ERR2061620.7209434 7001289F:109:CB97UANXX:1:1204:11253:12606/1	R1	+	-	-	+	0.000000	0.393162
ERR2061620.7209439 7001289F:109:CB97UANXX:1:2102:15832:36192/1	R1	+	-	-	+	0.000000	0.000000
ERR2061620.7209441 7001289F:103:C9WFLANXX:4:1214:17359:9210/1	R1	+	-	-	+	0.446429	0.000000
ERR2061620.7209444 7001289F:109:CB97UANXX:1:2314:9046:97514/1	R1	-	+	+	-	0.064815	0.574468
ERR2061620.7209445 7001289F:109:CB97UANXX:1:2301:1338:10263/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209446 7001289F:109:CB97UANXX:1:1202:13456:2242/1	R1	-	+	-	-	0.000000	-
ERR2061620.7209448 7001289F:103:C9WFLANXX:4:2206:12770:27734/1	R1	+	-	-	+	0.600000	0.172414
ERR2061620.7209449 7001289F:109:CB97UANXX:1:1309:11262:26514/1	R1	+	-	-	+	0.657895	0.000000
ERR2061620.7209450 7001289F:103:C9WFLANXX:4:2315:7074:12224/1	R1	-	+	+	-	0.072917	0.609756
ERR2061620.7209451 7001289F:103:C9WFLANXX:4:1110:6518:88907/1	R1	+	-	-	-	0.381818	-
ERR2061620.7209452 7001289F:103:C9WFLANXX:4:1102:12267:55277/1	R1	-	+	+	-	0.000000	0.302752
ERR2061620.7209453 7001289F:109:CB97UANXX:1:1313:12260:95783/1	R1	-	+	-	-	0.303030	-
ERR2061620.7209454 7001289F:109:CB97UANXX:1:2308:6455:82903/1	R1	-	+	+	-	0.364583	0.000000
ERR2061620.7209455 7001289F:103:C9WFLANXX:3:2113:1819:95785/1	R1	-	+	+	-	0.129630	0.961538
ERR2061620.7209456 7001289F:109:CB97UANXX:1:2211:12588:71641/1	R1	+	-	-	+	0.793651	0.000000
ERR2061620.7209458 7001289F:109:CB97UANXX:1:1216:10038:25616/1	R1	+	-	-	-	0.558824	-
ERR2061620.7209462 7001289F:103:C9WFLANXX:3:1311:16960:32954/1	R1	+	-	-	-	0.362637	-
ERR2061620.7209463 7001289F:103:C9WFLANXX:3:1310:17993:39484/1	R1	-	+	+	-	0.314286	0.151515
ERR2061620.7209464 7001289F:109:CB97UANXX:1:1302:18449:54315/2	R2	-	-	-	+	-	0.000000
